,resilience
0,0.49984522364741174
1,0.495620408730971
2,0.501779574216019
3,0.5089411849923243
4,0.5106988536146526
5,0.5120450303685065
6,0.5142894859815245
7,0.5145626156208167
8,0.5128622303176301
9,0.5222674409730682
10,0.5230581878619226
11,0.5215991419030376
12,0.508520590291314
13,0.4997327069846095
14,0.5078637486076838
15,0.506273195121588
16,0.5080430148104339
17,0.5087958744986927
18,0.5165098883808327
19,0.5154653193810208
20,0.5172186637397717
21,0.5265589121447756
22,0.5292241514001722
23,0.5299345330286656
24,0.4766723697337889
25,0.45616108183244486
26,0.47451973437483974
27,0.48086088637082347
28,0.48207603072838284
29,0.4894463789108834
30,0.4948660778511811
31,0.4981775501070795
32,0.49907927936127816
33,0.5125526777995641
34,0.5199511364319722
35,0.5218043110537869
36,0.4979918506203206
37,0.4969021678911334
38,0.5021316399814257
39,0.5188222288365872
40,0.5180885927767815
41,0.5175441700075774
42,0.5277902762894745
43,0.5340292116730068
44,0.5382945363291816
45,0.5463416104976032
46,0.5411364869724843
47,0.5562827621382117
48,0.4558794100412439
49,0.43086852852776825
50,0.4282933439238018
51,0.4222435876856954
52,0.4507930937848396
53,0.4522437778709766
54,0.4332457906338664
55,0.4436024373104593
56,0.43348414665643853
57,0.4443010039286765
58,0.4427463217756059
59,0.4381683622400279
60,0.516652712476811
61,0.5167434751663323
62,0.5333895689657885
63,0.5269992524428491
64,0.5423833108436331
65,0.5446838662512811
66,0.5491925790438356
67,0.5541026226441338
68,0.5601229754883884
69,0.605673150923795
70,0.609143730684759
71,0.6082699640252699
